lm_sensors 1:3.6.0.r41.g31d1f125-1
lpsolve 5.5.2.5-4
lsb-release 1.4-18
lua 5.4.2-1
lua52 5.2.4-5
luajit 2.0.5-3
luit 20201003-1
lvm2 2.03.11-5
lxappearance 0.6.3-4
lxappearance-obconf 0.2.3-3
lxde-common 0.99.2-3
lxde-icon-theme 0.5.1-5
lxdm 0.5.3-7
lxhotkey 0.1.1-1
lxinput 0.3.5-3
lxlauncher 0.2.5-4
lxmenu-data 0.1.5-3
lxmusic 0.4.7-3
lxpanel 0.10.1-1
lxrandr 0.3.2-2
lxsession 1:0.5.5-1
lxtask 0.1.10-1
lxterminal 0.4.0-1
lz4 1:1.9.3-1
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.4-1
masterpdfeditor-free 4.3.89-1
mbedtls 2.25.0-1
md4c 0.4.7-1
mdadm 4.1-2
megasync 4.4.0.0-1
menu-cache 1.1.0-2
mesa 20.3.4-3
metis 5.1.0.p10-1
minizip 1:1.2.11-4
mkinitcpio 30-1
mkinitcpio-busybox 1.32.1-2
mobile-broadband-provider-info 20201225-1
mpfr 4.1.0-1
mpg123 1.26.3-2
mtdev 1.1.6-1
mypaint-brushes1 1.3.1-1
nano 5.6.1-1
ncurses 6.2-1
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.31.2-1
net-snmp 5.9-3
netpbm 10.73.33-1
nettle 3.7.1-1
network-manager-applet 1.20.0-2
networkmanager 1.30.2-1
networkmanager-dmenu-git r141.78c8a78-1
nm-connection-editor 1.20.0-2
node-gyp 7.1.2-1
nodejs 15.11.0-1
nodejs-nativefier 43.0.0-1
npm 7.6.3-1
npth 1.6-3
nspr 4.29-1
nss 3.62-1
ntfs-3g 2017.3.23-5
obs-studio 26.1.2-1
openal 1.21.1-1
openbox 3.6.1-7
opencore-amr 0.1.5-5
openexr 2.5.5-1
openjpeg2 2.4.0-1
openmpi 4.0.5-2
openssh 8.5p1-1
openssl 1.1.1.j-1
openssl-1.0 1.0.2.u-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.78-1
p11-kit 0.23.22-1
p7zip 17.03-2
pacman 5.2.2-2
pacman-contrib 1.4.0-1
pacman-mirrorlist 20210302-1
pahole 1.20-1
pam 1.5.1-1
pambase 20200721.1-2
pango 1:1.48.3-1
pangomm 2.46.0-1
papirus-icon-theme 20210302-1
parted 3.4-2
paru 1.3.0-1
pasystray 0.7.1-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcloud-drive 1.9.1-1
pcmanfm 1.3.2-1
pcre 8.44-1
pcre2 10.36-1
perl 5.32.1-1
perl-clone 0.45-2
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-file-listing 6.14-1
perl-html-parser 3.76-1
perl-html-tagset 3.20-10
perl-http-cookies 6.10-1
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.29-1
perl-http-negotiate 6.01-8
perl-io-html 1.004-1
perl-libwww 6.53-1
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-net-http 6.20-1
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-uri 5.09-1
perl-www-robotrules 6.02-8
perl-xml-parser 2.46-2
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.118-1
poppler 21.03.0-1
poppler-data 0.4.10-1
poppler-glib 21.03.0-1
popt 1.18-1
portsmf 234-2
powerkit 1.0.0-8
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 14.2-2
python 3.9.2-1
python-cairo 1.20.0-3
python-gobject 3.38.0-3
python-shiboken2 5.15.2-6
python2 2.7.18-2
qogir-gtk-theme 2021.02.09-1
qpdf 10.3.1-1
qrencode 4.1.1-1
qt5-base 5.15.2-5
qt5-charts 5.15.2-1
qt5-declarative 5.15.2-1
qt5-imageformats 5.15.2-1
qt5-svg 5.15.2-1
qt5-wayland 5.15.2-1
qt5-x11extras 5.15.2-1
qt5pas 2.6.r63484-2
quazip 1.1-1
raptor 2.0.15-15
rasqal 1:0.9.33-4
rav1e 0.4.0-1
rclone 1.54.1-1
readline 8.1.0-2
redland 1:1.0.17-8
reflector 2021-1
rest 0.8.1-3
rof-git 0.0.1-3
rofi 1.6.1-1
rsync 3.2.3-3
rtkit 0.13-1
ruby 2.7.2-1
ruby-irb 1.3.4-1
ruby-reline 0.2.4-1
rubygems 3.2.13-1
run-parts 4.8.6.1-2
sane 1.0.32-3
scrot 1.5-1
sdl 1.2.15-14
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.4-1
serd 0.30.10-1
shaderc 2020.5-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
signal-desktop 1.40.1-1
skypeforlinux-stable-bin 8.69.0.77-1
slang 2.3.2-2
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.2-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.7-1
sqlite 3.34.1-1
sratom 0.6.8-1
srt 1.4.2-1
stacer 1.1.0-1
startup-notification 0.12-7
sudo 1.9.5.p2-1
suil 0.10.10-1
suitesparse 5.9.0-1
svt-av1 0.8.6-2
sysfsutils 2.1.1-1
systemd 247.3-1
systemd-libs 247.3-1
systemd-sysvcompat 247.3-1
taglib 1.12-1
tar 1.34-1
tbb 2020.3-1
tdb 1.4.3-4
telegram-desktop 2.6.1-1
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
thunderbird 78.8.1-1
tint2 16.7-3
tracker3 3.0.3-1
transmission-cli 3.00-2
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
twolame 0.4.0-2
tzdata 2021a-1
udisks2 2.9.2-1
unrar 1:6.0.4-1
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
util-linux 2.36.2-1
util-linux-libs 2.36.2-1
v4l-utils 1.20.0-1
vamp-plugin-sdk 2.10.0-1
viber 13.3.1.22-1
vid.stab 1.1-3
vim 8.2.2489-1
vim-runtime 8.2.2489-1
virtualbox 6.1.18-2
virtualbox-ext-oracle 6.1.18-1
virtualbox-host-modules-arch 6.1.18-18
vlc 3.0.12-1
vmaf 1.5.3-1
volume_key 0.3.12-5
vte-common 0.62.3-1
vte3 0.62.3-1
vulkan-icd-loader 1.2.172-1
wavemon 0.9.3-1
wavpack 5.4.0-1
wayland 1.19.0-1
wayland-protocols 1.20-1
webkit2gtk 2.30.5-1
webkitgtk-bin 3:2.4.11-22
webrtc-audio-processing 0.3.1-2
wget 1.21.1-1
whatsapp-nativefier 2.2045.15-1
which 2.21-5
wireless_tools 30.pre9-3
wmctrl 1.07-6
woff2 1.0.2-3
wpa_supplicant 2:2.9-8
wpebackend-fdo 1.8.0-1
wxbase-light 3.0.5.1-2
wxcommon-light 3.0.5.1-2
wxgtk2-light 3.0.5.1-2
wxgtk3 3.0.5.1-2
x264 3:0.160.r3011.cde9a93-1
x265 3.4-1
xautolock 2.2-6
xbitmaps 1.1.2-2
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.2-2
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-3
xf86-input-libinput 0.30.0-1
xf86-video-intel 1:2.99.917+916+g31486f40-1
xfsprogs 5.10.0-2
xkeyboard-config 2.32-1
xmlsec 1.2.31-1
xmms2 0.8DrO_o.7391.dedc33d7-2
xorg-appres 1.0.5-2
xorg-fonts-encodings 1.0.5-2
xorg-server 1.20.10-3
xorg-server-common 1.20.10-3
xorg-setxkbmap 1.3.2-2
xorg-twm 1.0.11-1
xorg-xauth 1.1-2
xorg-xclock 1.0.9-2
xorg-xinit 1.4.1-3
xorg-xkbcomp 1.4.4-1
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xset 1.2.4-2
xorgproto 2021.3-1
xscreensaver 5.44-3
xterm 366-1
xvidcore 1.3.7-2
xxhash 0.8.0-1
xz 5.2.5-1
yay 10.1.2-2
youtube-dl 2021.03.03-1
yubico-c 1.13-6
yubico-c-client 2.15-5
yubikey-personalization 1.20.0-3
zenity 3.32.0+55+gd7bedff-1
zeromq 4.3.3-2
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.8.0-1
zlib 1:1.2.11-4
zoom 5.5.4-1
zstd 1.4.9-1
