polkit 0.118-1
poppler 21.05.0-1
poppler-data 0.4.10-1
poppler-glib 21.05.0-1
popt 1.18-1
portsmf 234-2
powerkit 1.0.0-8
powertop 2.13-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 14.2-3
python 3.9.5-1
python-appdirs 1.4.4-3
python-cairo 1.20.0-3
python-chardet 4.0.0-2
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-gobject 3.40.1-1
python-idna 3.1-1
python-markdown 3.3.4-1
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pycups 2.0.1-3
python-pycurl 7.43.0.6-4
python-pyparsing 2.4.7-3
python-pyqt5 5.15.4-1
python-pyqt5-sip 12.8.1-3
python-requests 2.25.1-1
python-setuptools 1:56.1.0-1
python-shiboken2 5.15.2-6
python-six 1.16.0-1
python-urllib3 1.26.4-1
python2 2.7.18-3
qogir-gtk-theme 2021.04.20-1
qpdf 10.3.2-1
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r192-1
qt5-charts 5.15.2-1
qt5-declarative 5.15.2+kde+r24-1
qt5-imageformats 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-tools 5.15.2+kde+r17-1
qt5-wayland 5.15.2+kde+r19-1
qt5-x11extras 5.15.2-1
qt5pas 2.6.r64920-1
quazip 1.1-1
raptor 2.0.15-16
rasqal 1:0.9.33-4
rav1e 0.4.1-1
rclone 1.54.1-1
readline 8.1.001-1
redland 1:1.0.17-8
reflector 2021.4-1
rest 0.8.1-3
rofi 1.6.1-1
rsync 3.2.3-3
rtkit 0.13-1
run-parts 4.11.2-1
sane 1.0.32-3
scrot 1.5-1
sdl 1.2.15-14
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
shaderc 2020.5-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
signal-desktop 5.0.0-1
skypeforlinux-stable-bin 8.71.0.36-1
slang 2.3.2-2
smbclient 4.14.4-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.2-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.7-1
sqlite 3.35.5-1
sratom 0.6.8-1
srt 1.4.3-1
stacer 1.1.0-1
startup-notification 0.12-7
sudo 1.9.6.p1-1
suil 0.10.10-1
suitesparse 5.9.0-1
svt-av1 0.8.6-3
sysfsutils 2.1.1-1
system-config-printer 1.5.15-1
systemd 248.2-2
systemd-libs 248.2-2
systemd-sysvcompat 248.2-2
taglib 1.12-1
talloc 2.3.2-1
tar 1.34-1
tbb 2020.3-1
tdb 1.4.3-4
telegram-desktop 2.7.4-1
tevent 1:0.10.2-3
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
thunar 4.16.8-1
thunderbird 78.10.1-1
tint2 17.0-1
tor-browser 10.0.16-1
transmission-cli 3.00-2
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-font-awesome 5.15.3-1
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
twolame 0.4.0-2
tzdata 2021a-1
udisks2 2.9.2-1
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
usbutils 013-1
util-linux 2.36.2-1
util-linux-libs 2.36.2-1
v4l-utils 1.20.0-1
vamp-plugin-sdk 2.10.0-1
viber 13.3.1.22-1
vid.stab 1.1-3
vim 8.2.2845-1
vim-runtime 8.2.2845-1
virtualbox 6.1.22-1
virtualbox-ext-oracle 6.1.22-1
virtualbox-host-modules-arch 6.1.22-4
vlc 3.0.13-1
vmaf 1.5.3-1
volume_key 0.3.12-5
vte-common 0.64.1-1
vte3 0.64.1-1
vulkan-icd-loader 1.2.176-1
wavemon 0.9.3-1
wavpack 5.4.0-1
wayland 1.19.0-1
wayland-protocols 1.21-1
webkit2gtk 2.32.1-1
webrtc-audio-processing 0.3.1-2
wget 1.21.1-1
whatsapp-nativefier 2.2045.15-1
which 2.21-5
wimlib 1.13.3-1
wireless_tools 30.pre9-3
woeusb 5.1.0-1
woff2 1.0.2-3
wpa_supplicant 2:2.9-8
wpebackend-fdo 1.9.91-1
wxbase-light 3.0.5.1-2
wxcommon-light 3.0.5.1-2
wxgtk3 3.0.5.1-2
x264 3:0.161.r3039.544c61f-1
x265 3.5-1
xbitmaps 1.1.2-2
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xcursor-bluecurve 0.1.1-7
xdg-dbus-proxy 0.1.2-2
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-3
xf86-input-libinput 1.0.1-1
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-vesa 2.5.0-1
xfconf 4.16.0-1
xfsprogs 5.11.0-2
xkeyboard-config 2.32-1
xmlsec 1.2.32-1
xmms2 0.8DrO_o.7391.dedc33d7-4
xorg-appres 1.0.5-2
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.4-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.11-1
xorg-server-common 1.20.11-1
xorg-server-devel 1.20.11-1
xorg-server-xephyr 1.20.11-1
xorg-server-xnest 1.20.11-1
xorg-server-xvfb 1.20.11-1
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-twm 1.0.11-1
xorg-util-macros 1.19.3-1
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xclock 1.0.9-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
